Year,Ring,ID_YearBird,FID,FID_nb,Island_ID,Island_type,Breed_exp,Body_condition,ClutchSize,Eagle_index,Ad_pred_risk,Nest_pred_risk,Laying_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55568,2009-55568,0,1,SKA,Forested,6,-0.012061174,7,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65546,2009-65546,100,2,SKA,Forested,2,-0.008814568,4,2.9452,0.088235294,0.34375,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55568,2009-55568,100,2,SKA,Forested,6,-0.012061174,7,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64054,2009-64054,100,1,SKA,Forested,3,0.039044098,6,2.9452,0.088235294,0.34375,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65546,2009-65546,0,1,SKA,Forested,2,-0.008814568,4,2.9452,0.088235294,0.34375,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,58937,2009-58937,250,1,SKA,Forested,5,-0.021552795,3,2.9452,0.088235294,0.34375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,58937,2009-58937,200,2,SKA,Forested,5,-0.021552795,3,2.9452,0.088235294,0.34375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22788,2009-22788,10,3,SKA,Forested,11,-0.035296666,4,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22788,2009-22788,110,1,SKA,Forested,11,-0.035296666,4,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22788,2009-22788,10,2,SKA,Forested,11,-0.035296666,4,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64054,2009-64054,10,2,SKA,Forested,3,0.039044098,6,2.9452,0.088235294,0.34375,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22779,2009-22779,10,1,SKO,Forested,11,-0.006017128,3,2.9452,0.022727273,0.238095238,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22779,2009-22779,50,2,SKO,Forested,11,-0.006017128,3,2.9452,0.022727273,0.238095238,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,28431,2009-28431,200,2,SKO,Forested,6,-0.016016722,5,2.9452,0.022727273,0.238095238,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,28431,2009-28431,100,1,SKO,Forested,6,-0.016016722,5,2.9452,0.022727273,0.238095238,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22810,2009-22810,0,1,SKO,Forested,17,-0.125549677,4,2.9452,0.022727273,0.238095238,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22810,2009-22810,0,2,SKO,Forested,17,-0.125549677,4,2.9452,0.022727273,0.238095238,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,54505,2009-54505,500,2,SKO,Forested,8,0.032331113,6,2.9452,0.022727273,0.238095238,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25136,2009-25136,0,1,SKO,Forested,9,0.039774942,6,2.9452,0.022727273,0.238095238,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25136,2009-25136,5,2,SKO,Forested,9,0.039774942,6,2.9452,0.022727273,0.238095238,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
